,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0024560149977332912,7.0,True,50,0.1,512
1,1,0.025266468997870106,8.0,True,50,0.1,512
2,2,0.05562004599778447,8.0,True,50,0.1,512
3,3,0.08670183699723566,8.0,True,50,0.1,512
4,4,0.11017242599336896,8.0,True,50,0.1,512
5,5,0.1406958029983798,8.0,True,50,0.1,512
6,6,0.1642040229999111,8.0,True,50,0.1,512
7,7,0.1857404529946507,8.0,True,50,0.1,512
8,8,0.20821546299703186,8.0,True,50,0.1,512
9,9,0.237836136999249,8.0,True,50,0.1,512
10,10,0.2585159499940346,8.0,True,50,0.1,512
11,11,0.2786232719954569,8.0,True,50,0.1,512
12,12,0.30051743599324254,8.0,True,50,0.1,512
13,13,0.3219900349940872,8.0,True,50,0.1,512
14,14,0.34242915399954654,8.0,True,50,0.1,512
15,15,0.36295083899312885,8.0,True,50,0.1,512
16,16,0.38499091799894813,8.0,True,50,0.1,512
17,17,0.41400918499857653,8.0,True,50,0.1,512
18,18,0.43467784699896583,8.0,True,50,0.1,512
19,19,0.45493796799564734,8.0,True,50,0.1,512
20,20,0.476231367996661,8.0,True,50,0.1,512
21,21,0.49079832599818474,8.0,True,50,0.1,512
22,22,0.5045898709940957,8.0,True,50,0.1,512
23,23,0.5185108289952041,8.0,True,50,0.1,512
24,24,0.5323192159994505,8.0,True,50,0.1,512
25,25,0.5459534839974367,8.0,True,50,0.1,512
26,26,0.5597685829998227,8.0,True,50,0.1,512
27,27,0.5736833499977365,8.0,True,50,0.1,512
28,28,0.5879405229934491,8.0,True,50,0.1,512
29,29,0.6018456120000337,8.0,True,50,0.1,512
30,30,0.6157501999987289,8.0,True,50,0.1,512
31,31,0.6295096239991835,8.0,True,50,0.1,512
32,32,0.6433134219987551,8.0,True,50,0.1,512
33,33,0.6625178109970875,8.0,True,50,0.1,512
34,34,0.6766437959959148,8.0,True,50,0.1,512
35,35,0.6911571229939,8.0,True,50,0.1,512
36,36,0.7052894399967045,8.0,True,50,0.1,512
37,37,0.7187553709954955,8.0,True,50,0.1,512
38,38,0.7326438780000899,8.0,True,50,0.1,512
39,39,0.7457173479997437,8.0,True,50,0.1,512
40,40,0.7594268469983945,8.0,True,50,0.1,512
41,41,0.7730800609933794,8.0,True,50,0.1,512
42,42,0.7866618809930515,8.0,True,50,0.1,512
43,43,0.8003639259986812,8.0,True,50,0.1,512
44,44,0.8138880159967812,8.0,True,50,0.1,512
45,45,0.8273957349956618,8.0,True,50,0.1,512
46,46,0.8410427469934803,8.0,True,50,0.1,512
47,47,0.8545451359968865,8.0,True,50,0.1,512
48,48,0.868098901999474,8.0,True,50,0.1,512
49,49,0.8815930849959841,8.0,True,50,0.1,512
50,50,0.8950998629952664,8.0,True,50,0.1,512
51,51,0.9086058479952044,8.0,True,50,0.1,512
52,52,0.9221107419944019,8.0,True,50,0.1,512
53,53,0.9355843059965991,8.0,True,50,0.1,512
54,54,0.9490649239960476,8.0,True,50,0.1,512
55,55,0.9625957669995842,8.0,True,50,0.1,512
56,56,0.97560082799464,8.0,True,50,0.1,512
57,57,0.989184830999875,8.0,True,50,0.1,512
58,58,1.002614952994918,8.0,True,50,0.1,512
59,59,1.016046507997089,8.0,True,50,0.1,512
60,60,1.0294997449964285,8.0,True,50,0.1,512
61,61,1.042974049996701,8.0,True,50,0.1,512
62,62,1.0564852059978875,8.0,True,50,0.1,512
63,63,1.0699440529933781,8.0,True,50,0.1,512
64,64,1.0835515899962047,8.0,True,50,0.1,512
65,65,1.103915165993385,8.0,True,50,0.1,512
66,66,1.117613143993367,8.0,True,50,0.1,512
67,67,1.1315268089965684,8.0,True,50,0.1,512
68,68,1.1452130659963586,8.0,True,50,0.1,512
69,69,1.158766549997381,8.0,True,50,0.1,512
70,70,1.1722007309945184,8.0,True,50,0.1,512
71,71,1.1858501279930351,8.0,True,50,0.1,512
72,72,1.1995222569967154,8.0,True,50,0.1,512
73,73,1.212948571999732,8.0,True,50,0.1,512
74,74,1.2263954859954538,8.0,True,50,0.1,512
75,75,1.2398399059966323,8.0,True,50,0.1,512
76,76,1.2532508119984413,8.0,True,50,0.1,512
77,77,1.2668575489951763,8.0,True,50,0.1,512
78,78,1.2803642449944164,8.0,True,50,0.1,512
79,79,1.2940312749997247,8.0,True,50,0.1,512
80,80,1.3130917419985053,8.0,True,50,0.1,512
81,81,1.3329601739969803,8.0,True,50,0.1,512
82,82,1.3506920139989234,8.0,True,50,0.1,512
83,83,1.36756334999518,8.0,True,50,0.1,512
84,84,1.3829572379981983,8.0,True,50,0.1,512
85,85,1.3996566599962534,8.0,True,50,0.1,512
86,86,1.4160536209965358,8.0,True,50,0.1,512
87,87,1.432299015999888,8.0,True,50,0.1,512
88,88,1.449001993998536,8.0,True,50,0.1,512
89,89,1.4653082839940907,8.0,True,50,0.1,512
90,90,1.4813001209986396,8.0,True,50,0.1,512
91,91,1.497296475994517,8.0,True,50,0.1,512
92,92,1.5128778479993343,8.0,True,50,0.1,512
93,93,1.5286604099965189,8.0,True,50,0.1,512
94,94,1.5452827159970184,8.0,True,50,0.1,512
95,95,1.561590407996846,8.0,True,50,0.1,512
96,96,1.57760253399465,8.0,True,50,0.1,512
97,97,1.5937366779980948,8.0,True,50,0.1,512
98,98,1.609155763995659,8.0,True,50,0.1,512
99,99,1.625264670998149,8.0,True,50,0.1,512
100,100,1.6417187299957732,8.0,True,50,0.1,512
101,101,1.6579523629989126,8.0,True,50,0.1,512
102,102,1.674079153999628,10.0,True,50,0.25,512
103,103,0.0019291200005682185,10.0,True,50,0.25,512
104,104,0.02117503699992085,17.0,True,50,0.25,512
105,105,0.04554825899685966,17.0,True,50,0.25,512
106,106,0.0687946149992058,17.0,True,50,0.25,512
107,107,0.08761611199588515,17.0,True,50,0.25,512
108,108,0.11241848299687263,17.0,True,50,0.25,512
109,109,0.13173052499769256,17.0,True,50,0.25,512
110,110,0.15071311499923468,17.0,True,50,0.25,512
111,111,0.1698666179945576,17.0,True,50,0.25,512
112,112,0.19435507799789775,17.0,True,50,0.25,512
113,113,0.2141300229995977,17.0,True,50,0.25,512
114,114,0.23394366099819308,17.0,True,50,0.25,512
115,115,0.25369655399845215,17.0,True,50,0.25,512
116,116,0.2729425319994334,17.0,True,50,0.25,512
117,117,0.2918650879946654,17.0,True,50,0.25,512
118,118,0.3112285379975219,17.0,True,50,0.25,512
119,119,0.33051794600032736,17.0,True,50,0.25,512
120,120,0.3562601019948488,17.0,True,50,0.25,512
121,121,0.3748853279976174,17.0,True,50,0.25,512
122,122,0.39397906699741725,17.0,True,50,0.25,512
123,123,0.41282817499450175,17.0,True,50,0.25,512
124,124,0.431876739996369,17.0,True,50,0.25,512
125,125,0.4509918099938659,17.0,True,50,0.25,512
126,126,0.4703042219989584,17.0,True,50,0.25,512
127,127,0.48947463699732907,17.0,True,50,0.25,512
128,128,0.5084531999964383,17.0,True,50,0.25,512
129,129,0.5258875479994458,17.0,True,50,0.25,512
130,130,0.5448267669999041,17.0,True,50,0.25,512
131,131,0.5641965869945125,17.0,True,50,0.25,512
132,132,0.5835456489949138,17.0,True,50,0.25,512
133,133,0.6023976519936696,17.0,True,50,0.25,512
134,134,0.6213369510005577,17.0,True,50,0.25,512
135,135,0.6402977799953078,17.0,True,50,0.25,512
136,136,0.6650167039988446,17.0,True,50,0.25,512
137,137,0.6839255559971207,17.0,True,50,0.25,512
138,138,0.7028924059995916,17.0,True,50,0.25,512
139,139,0.7208267379974131,17.0,True,50,0.25,512
140,140,0.7397344359997078,17.0,True,50,0.25,512
141,141,0.7586111569980858,17.0,True,50,0.25,512
142,142,0.7775316299957922,17.0,True,50,0.25,512
143,143,0.7966183659955277,17.0,True,50,0.25,512
144,144,0.8151018149947049,17.0,True,50,0.25,512
145,145,0.8340268359970651,17.0,True,50,0.25,512
146,146,0.8529855309971026,17.0,True,50,0.25,512
147,147,0.8719755049969535,17.0,True,50,0.25,512
148,148,0.8909902960003819,17.0,True,50,0.25,512
149,149,0.9085635859955801,17.0,True,50,0.25,512
150,150,0.9274878269934561,17.0,True,50,0.25,512
151,151,0.9463703879955574,17.0,True,50,0.25,512
152,152,0.9652736689968151,17.0,True,50,0.25,512
153,153,0.9842912549938774,17.0,True,50,0.25,512
154,154,1.0035615979941213,17.0,True,50,0.25,512
155,155,1.0226588439982152,17.0,True,50,0.25,512
156,156,1.0415102759943693,17.0,True,50,0.25,512
157,157,1.0596992689970648,17.0,True,50,0.25,512
158,158,1.078354961995501,17.0,True,50,0.25,512
159,159,1.0973055619979277,17.0,True,50,0.25,512
160,160,1.1151729579942185,17.0,True,50,0.25,512
161,161,1.1339106149971485,17.0,True,50,0.25,512
162,162,1.152332817997376,17.0,True,50,0.25,512
163,163,1.1707071799974074,17.0,True,50,0.25,512
164,164,1.1897256089941948,17.0,True,50,0.25,512
165,165,1.2086044729949208,17.0,True,50,0.25,512
166,166,1.2261426269978983,17.0,True,50,0.25,512
167,167,1.244731654995121,17.0,True,50,0.25,512
168,168,1.2705147879969445,17.0,True,50,0.25,512
169,169,1.28933132399834,17.0,True,50,0.25,512
170,170,1.307905502995709,17.0,True,50,0.25,512
171,171,1.3268852379987948,17.0,True,50,0.25,512
172,172,1.3456917259973125,17.0,True,50,0.25,512
173,173,1.3644810509940726,17.0,True,50,0.25,512
174,174,1.3832656879967544,17.0,True,50,0.25,512
175,175,1.4020833159956965,17.0,True,50,0.25,512
176,176,1.420600427998579,17.0,True,50,0.25,512
177,177,1.4393112260004273,17.0,True,50,0.25,512
178,178,1.458117823000066,17.0,True,50,0.25,512
179,179,1.4771019059990067,17.0,True,50,0.25,512
180,180,1.4940309609955875,17.0,True,50,0.25,512
181,181,1.5129535679952824,17.0,True,50,0.25,512
182,182,1.5318025059968932,17.0,True,50,0.25,512
