,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0001971909950952977,21.0,True,50,0.1,512
1,1,0.007280742000148166,21.0,True,50,0.1,512
2,2,0.018655820000276435,21.0,True,50,0.1,512
3,3,0.028339003001747187,21.0,True,50,0.1,512
4,4,0.03414956900087418,21.0,True,50,0.1,512
5,5,0.04354116299509769,21.0,True,50,0.1,512
6,6,0.048806031998537946,21.0,True,50,0.1,512
7,7,0.054022678996261675,21.0,True,50,0.1,512
8,8,0.0592386459975387,21.0,True,50,0.1,512
9,9,0.06788259399763774,21.0,True,50,0.1,512
10,10,0.0731486840013531,21.0,True,50,0.1,512
11,11,0.07838004999939585,21.0,True,50,0.1,512
12,12,0.08357912399515044,21.0,True,50,0.1,512
13,13,0.08880665199831128,21.0,True,50,0.1,512
14,14,0.09404156399978092,21.0,True,50,0.1,512
15,15,0.09924929499538848,21.0,True,50,0.1,512
16,16,0.10445036400051322,21.0,True,50,0.1,512
17,17,0.11316138799884357,21.0,True,50,0.1,512
18,18,0.11847654099983629,21.0,True,50,0.1,512
19,19,0.12371792499470757,21.0,True,50,0.1,512
20,20,0.12892842099972768,21.0,True,50,0.1,512
21,21,0.13415311399876373,21.0,True,50,0.1,512
22,22,0.13935481299995445,21.0,True,50,0.1,512
23,23,0.1445871999967494,21.0,True,50,0.1,512
24,24,0.14984814100171207,21.0,True,50,0.1,512
25,25,0.15509523599757813,21.0,True,50,0.1,512
26,26,0.16074590099742636,21.0,True,50,0.1,512
27,27,0.1663868069954333,21.0,True,50,0.1,512
28,28,0.17201281499728793,21.0,True,50,0.1,512
29,29,0.17764055600127904,21.0,True,50,0.1,512
30,30,0.18330067899660207,21.0,True,50,0.1,512
31,31,0.1889394409954548,21.0,True,50,0.1,512
32,32,0.19456333499692846,21.0,True,50,0.1,512
33,33,0.20423192100133747,21.0,True,50,0.1,512
34,34,0.20993948199611623,21.0,True,50,0.1,512
35,35,0.21563030299876118,21.0,True,50,0.1,512
36,36,0.22134345499944175,21.0,True,50,0.1,512
37,37,0.22703552700113505,21.0,True,50,0.1,512
38,38,0.23273660599807044,21.0,True,50,0.1,512
39,39,0.2384525239976938,21.0,True,50,0.1,512
40,40,0.24412777399993502,21.0,True,50,0.1,512
41,41,0.24980999800027348,21.0,True,50,0.1,512
42,42,0.25546978000056697,21.0,True,50,0.1,512
43,43,0.2611405619973084,21.0,True,50,0.1,512
44,44,0.2668117649955093,21.0,True,50,0.1,512
45,45,0.2724763160003931,21.0,True,50,0.1,512
46,46,0.27814088599552633,21.0,True,50,0.1,512
47,47,0.2838152859985712,21.0,True,50,0.1,512
48,48,0.2894796159962425,21.0,True,50,0.1,512
49,49,0.295144416995754,21.0,True,50,0.1,512
50,50,0.30080535099841654,21.0,True,50,0.1,512
51,51,0.306469791001291,20.0,True,50,0.25,512
52,52,0.0001968099968507886,20.0,True,50,0.25,512
53,53,0.007381741997960489,20.0,True,50,0.25,512
54,54,0.018250806999276392,21.0,True,50,0.25,512
55,55,0.02910945299663581,21.0,True,50,0.25,512
56,56,0.035963201997219585,21.0,True,50,0.25,512
57,57,0.046835954002744984,21.0,True,50,0.25,512
58,58,0.05382700100017246,21.0,True,50,0.25,512
59,59,0.060753837002266664,21.0,True,50,0.25,512
60,60,0.06765493500279263,21.0,True,50,0.25,512
61,61,0.07886146599776112,21.0,True,50,0.25,512
62,62,0.08580145699670538,21.0,True,50,0.25,512
63,63,0.09265764000156196,21.0,True,50,0.25,512
64,64,0.09947936800017487,21.0,True,50,0.25,512
65,65,0.10632957000052556,21.0,True,50,0.25,512
66,66,0.11327243700361578,21.0,True,50,0.25,512
67,67,0.12015681299817516,21.0,True,50,0.25,512
68,68,0.12700443000358064,21.0,True,50,0.25,512
69,69,0.1384027509993757,21.0,True,50,0.25,512
70,70,0.14530858799844282,21.0,True,50,0.25,512
71,71,0.1514952310026274,21.0,True,50,0.25,512
72,72,0.15726895700208843,21.0,True,50,0.25,512
73,73,0.16336211500311038,21.0,True,50,0.25,512
74,74,0.1695016689991462,21.0,True,50,0.25,512
75,75,0.17527362200053176,21.0,True,50,0.25,512
76,76,0.1813147110005957,21.0,True,50,0.25,512
77,77,0.18728965600166703,21.0,True,50,0.25,512
78,78,0.1932953580035246,21.0,True,50,0.25,512
79,79,0.19930869500240078,21.0,True,50,0.25,512
80,80,0.20530927799700294,21.0,True,50,0.25,512
81,81,0.2113138490021811,21.0,True,50,0.25,512
82,82,0.21735966700362042,21.0,True,50,0.25,512
83,83,0.2233985519997077,21.0,True,50,0.25,512
84,84,0.2294070100033423,21.0,True,50,0.25,512
85,85,0.24008507600228768,21.0,True,50,0.25,512
86,86,0.2461460429985891,21.0,True,50,0.25,512
87,87,0.251909248996526,21.0,True,50,0.25,512
88,88,0.25745410400122637,21.0,True,50,0.25,512
89,89,0.2629213640029775,21.0,True,50,0.25,512
90,90,0.26837470699683763,21.0,True,50,0.25,512
91,91,0.2738546100008534,21.0,True,50,0.25,512
92,92,0.27934931100026006,21.0,True,50,0.25,512
93,93,0.2847926960021141,21.0,True,50,0.25,512
94,94,0.290249675999803,21.0,True,50,0.25,512
95,95,0.29571310799656203,21.0,True,50,0.25,512
96,96,0.3011612909976975,21.0,True,50,0.25,512
97,97,0.3066751180012943,21.0,True,50,0.25,512
98,98,0.312168466996809,21.0,True,50,0.25,512
99,99,0.3176395330010564,21.0,True,50,0.25,512
100,100,0.32314986400160706,21.0,True,50,0.25,512
101,101,0.3285401280008955,21.0,True,50,0.25,512
102,102,0.3338916490029078,21.0,True,50,0.25,512
103,103,0.3393535490031354,21.0,True,50,0.25,512
104,104,0.3447694409987889,21.0,True,50,0.25,512
105,105,0.3501408800002537,17.0,True,50,0.5,512
106,106,0.3555492090017651,19.0,True,50,0.5,512
107,107,0.00019880400213878602,19.0,True,50,0.5,512
108,108,0.0075340090043027885,20.0,True,50,0.5,512
109,109,0.019047777001105715,21.0,True,50,0.5,512
110,110,0.03047638700081734,21.0,True,50,0.5,512
111,111,0.037481821003893856,21.0,True,50,0.5,512
112,112,0.04891656100517139,21.0,True,50,0.5,512
113,113,0.0558289100008551,21.0,True,50,0.5,512
114,114,0.06264835400361335,21.0,True,50,0.5,512
115,115,0.06913048300339142,21.0,True,50,0.5,512
116,116,0.08053493600164074,21.0,True,50,0.5,512
117,117,0.08732647800206905,21.0,True,50,0.5,512
118,118,0.09415467800135957,21.0,True,50,0.5,512
119,119,0.10102349500084529,21.0,True,50,0.5,512
120,120,0.1079479670006549,21.0,True,50,0.5,512
121,121,0.11479703700024402,21.0,True,50,0.5,512
122,122,0.12169849600468297,21.0,True,50,0.5,512
123,123,0.12864106200140668,21.0,True,50,0.5,512
124,124,0.1403094620036427,21.0,True,50,0.5,512
125,125,0.14721100000315346,21.0,True,50,0.5,512
126,126,0.15407941700686933,21.0,True,50,0.5,512
127,127,0.1609382349997759,21.0,True,50,0.5,512
128,128,0.16786060300364625,21.0,True,50,0.5,512
129,129,0.17469209900446003,21.0,True,50,0.5,512
130,130,0.18157800900371512,21.0,True,50,0.5,512
131,131,0.1879813500054297,21.0,True,50,0.5,512
132,132,0.19431895700108726,21.0,True,50,0.5,512
133,133,0.20067104100598954,21.0,True,50,0.5,512
134,134,0.20705640900268918,21.0,True,50,0.5,512
135,135,0.21344686500378884,21.0,True,50,0.5,512
136,136,0.2198535530042136,21.0,True,50,0.5,512
137,137,0.2262415850054822,21.0,True,50,0.5,512
138,138,0.23268461100087734,21.0,True,50,0.5,512
139,139,0.23908925500290934,21.0,True,50,0.5,512
140,140,0.2506481380041805,21.0,True,50,0.5,512
141,141,0.25758951200259617,21.0,True,50,0.5,512
142,142,0.2645460140047362,21.0,True,50,0.5,512
143,143,0.27159828600269975,21.0,True,50,0.5,512
144,144,0.2775898120016791,21.0,True,50,0.5,512
145,145,0.2833020630059764,21.0,True,50,0.5,512
146,146,0.28899348400591407,21.0,True,50,0.5,512
147,147,0.29460708800615976,21.0,True,50,0.5,512
148,148,0.30024633100401843,21.0,True,50,0.5,512
149,149,0.3058679510068032,21.0,True,50,0.5,512
150,150,0.31152310400648275,21.0,True,50,0.5,512
151,151,0.3171907000069041,21.0,True,50,0.5,512
152,152,0.3228350030040019,21.0,True,50,0.5,512
153,153,0.3285045830052695,21.0,True,50,0.5,512
154,154,0.33415126100589987,21.0,True,50,0.5,512
155,155,0.3398147690022597,21.0,True,50,0.5,512
156,156,0.3454676380060846,21.0,True,50,0.5,512
157,157,0.3510858720037504,21.0,True,50,0.5,512
158,158,0.3567328190038097,21.0,True,50,0.5,512
159,159,0.36235019100422505,21.0,True,50,0.5,512
160,160,0.3679842240017024,17.0,True,50,0.75,512
161,161,0.37366437400487484,17.0,True,50,0.75,512
162,162,0.37928499200643273,18.0,True,50,0.75,512
163,163,0.00018347500008530915,18.0,True,50,0.75,512
164,164,0.0075110260004294105,18.0,True,50,0.75,512
165,165,0.01940912799909711,20.0,True,50,0.75,512
166,166,0.03140022500156192,20.0,True,50,0.75,512
167,167,0.03836135500023374,20.0,True,50,0.75,512
168,168,0.050458894002076704,20.0,True,50,0.75,512
169,169,0.05748699999821838,23.0,True,50,0.75,512
170,170,0.06439929900079733,23.0,True,50,0.75,512
171,171,0.07128036900394363,23.0,True,50,0.75,512
172,172,0.0835038240038557,23.0,True,50,0.75,512
173,173,0.09051518900378142,23.0,True,50,0.75,512
174,174,0.09739418500248576,23.0,True,50,0.75,512
175,175,0.10425482699793065,23.0,True,50,0.75,512
176,176,0.11114523399737664,23.0,True,50,0.75,512
177,177,0.11798858400288736,23.0,True,50,0.75,512
178,178,0.12481070299691055,23.0,True,50,0.75,512
179,179,0.13167222600168316,23.0,True,50,0.75,512
180,180,0.1440103260028991,23.0,True,50,0.75,512
181,181,0.1509607580010197,23.0,True,50,0.75,512
182,182,0.15787374800129328,23.0,True,50,0.75,512
183,183,0.16480959099862957,23.0,True,50,0.75,512
184,184,0.17206979400361888,23.0,True,50,0.75,512
185,185,0.17920252800104208,23.0,True,50,0.75,512
186,186,0.186143530998379,23.0,True,50,0.75,512
187,187,0.19314571900031297,23.0,True,50,0.75,512
188,188,0.20017539899708936,23.0,True,50,0.75,512
189,189,0.20711791400390211,23.0,True,50,0.75,512
190,190,0.21404482099751476,23.0,True,50,0.75,512
191,191,0.2209869959988282,23.0,True,50,0.75,512
192,192,0.2278813410011935,23.0,True,50,0.75,512
