,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay
0,0,12.0,0.0001180139997813967,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,1.0,0.005,0.001,0.9999994099301752,1.0,4096,
1,1,12.0,0.0005411040001490619,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,1.0,0.005,0.001,0.9999972944836591,1.0,4096,
2,2,12.0,0.004216534000079264,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,1.0,0.005,0.001,0.9999789175522376,1.0,4096,
3,4,12.0,0.007686385999477352,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",exponential,1.0,0.005,0.001,0.9999615688084997,1.0,4096,
4,8,13.0,0.011395579999771144,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",exponential,1.0,0.005,0.001,0.9999430237232109,1.0,4096,
5,16,17.0,0.016073916999630455,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]",exponential,1.0,0.005,0.001,0.9999196336445504,1.0,4096,
6,32,18.0,0.022232874000110314,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1]",exponential,1.0,0.005,0.001,0.9998888418085291,1.0,4096,
7,64,20.0,0.0306940049995319,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,1.0,0.005,0.001,0.9998465417509242,1.0,4096,
8,128,21.0,0.04382737099967926,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",exponential,1.0,0.005,0.001,0.9997808871537285,1.0,4096,
9,256,21.0,0.06721603000005416,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",exponential,1.0,0.005,0.001,0.9996639763186072,1.0,4096,
