,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0018734469995251857,468.0,50,0.05,2048
1,1,0.007391417999315308,483.0,50,0.05,2048
2,2,0.016909780002606567,483.0,50,0.05,2048
3,3,0.02595490200110362,512.0,50,0.05,2048
4,4,0.03143455000099493,512.0,50,0.05,2048
5,5,0.04036068800269277,512.0,50,0.05,2048
6,6,0.04580961800093064,523.0,50,0.05,2048
7,7,0.05126596099944436,524.0,50,0.05,2048
8,8,0.0566267260001041,524.0,50,0.05,2048
9,9,0.06581098000242491,524.0,50,0.05,2048
10,10,0.0711789070010127,529.0,50,0.05,2048
11,11,0.07654141500097467,547.0,50,0.05,2048
12,12,0.08201612300035777,547.0,50,0.05,2048
13,13,0.08735739099938655,550.0,50,0.05,2048
14,14,0.0927671770004963,559.0,50,0.05,2048
15,15,0.0981731169995328,559.0,50,0.05,2048
16,16,0.1035901159993955,564.0,50,0.05,2048
17,17,0.11271946700071567,567.0,50,0.05,2048
18,18,0.11816761500085704,571.0,50,0.05,2048
19,19,0.12355875700086472,590.0,50,0.05,2048
20,20,0.12893975900078658,590.0,50,0.05,2048
21,21,0.13429976200131932,590.0,50,0.05,2048
22,22,0.13972461600133101,590.0,50,0.05,2048
23,23,0.1451427390020399,590.0,50,0.05,2048
24,24,0.1505223179992754,594.0,50,0.05,2048
25,25,0.15595980700163636,594.0,50,0.05,2048
26,26,0.1614136360003613,598.0,50,0.05,2048
27,27,0.16687807600101223,600.0,50,0.05,2048
28,28,0.17226115200173808,613.0,50,0.05,2048
29,29,0.17760218799958238,613.0,50,0.05,2048
30,30,0.18298679800136597,613.0,50,0.05,2048
31,31,0.18832248500257265,613.0,50,0.05,2048
32,32,0.1936469300017052,613.0,50,0.05,2048
33,33,0.20295754200196825,616.0,50,0.05,2048
34,34,0.20837524300077348,616.0,50,0.05,2048
35,35,0.21372023799995077,622.0,50,0.05,2048
36,36,0.21904450300280587,622.0,50,0.05,2048
37,37,0.2243239840026945,622.0,50,0.05,2048
38,38,0.22941299600279308,625.0,50,0.05,2048
39,39,0.2343922130021383,625.0,50,0.05,2048
40,40,0.23941743500108714,625.0,50,0.05,2048
41,41,0.24436746500214213,625.0,50,0.05,2048
42,42,0.24939368900231784,625.0,50,0.05,2048
43,43,0.25451482300195494,629.0,50,0.05,2048
44,44,0.259588626002369,629.0,50,0.05,2048
45,45,0.26455112999974517,633.0,50,0.05,2048
46,46,0.2694882870018773,633.0,50,0.05,2048
47,47,0.274451934001263,634.0,50,0.05,2048
48,48,0.2794612159996177,634.0,50,0.05,2048
49,49,0.2844104050018359,636.0,50,0.05,2048
50,50,0.2893498859993997,639.0,50,0.05,2048
51,51,0.2943152549996739,639.0,50,0.05,2048
52,52,0.29927710800257046,641.0,50,0.05,2048
53,53,0.3042630370000552,641.0,50,0.05,2048
54,54,0.30921226600185037,641.0,50,0.05,2048
55,55,0.3142077420015994,641.0,50,0.05,2048
56,56,0.3192191990019637,641.0,50,0.05,2048
57,57,0.3241383610002231,644.0,50,0.05,2048
58,58,0.32913188400198123,644.0,50,0.05,2048
59,59,0.3340568970015738,644.0,50,0.05,2048
60,60,0.3390576340025291,645.0,50,0.05,2048
61,61,0.3440037470027164,645.0,50,0.05,2048
62,62,0.34899456499988446,647.0,50,0.05,2048
63,63,0.35397273800117546,647.0,50,0.05,2048
64,64,0.35900273000152083,650.0,50,0.05,2048
65,65,0.3686841090020607,650.0,50,0.05,2048
66,66,0.3741207660023065,650.0,50,0.05,2048
67,67,0.3795840140010114,650.0,50,0.05,2048
68,68,0.3849853339997935,650.0,50,0.05,2048
69,69,0.39045240899940836,650.0,50,0.05,2048
70,70,0.3958385400001134,650.0,50,0.05,2048
71,71,0.4012093730016204,650.0,50,0.05,2048
72,72,0.40667710900015663,650.0,50,0.05,2048
73,73,0.412087906999659,650.0,50,0.05,2048
74,74,0.4175882340023236,650.0,50,0.05,2048
75,75,0.4230175369993958,650.0,50,0.05,2048
76,76,0.4283647459997155,650.0,50,0.05,2048
77,77,0.4337189479992958,650.0,50,0.05,2048
78,78,0.43916770800205995,650.0,50,0.05,2048
79,79,0.44454615500217187,650.0,50,0.05,2048
80,80,0.44997515800059773,650.0,50,0.05,2048
81,81,0.4553637440003513,650.0,50,0.05,2048
82,82,0.46071685400238493,650.0,50,0.05,2048
83,83,0.4661999689997174,650.0,50,0.05,2048
84,84,0.4716102660022443,650.0,50,0.05,2048
85,85,0.47695602200110443,650.0,50,0.05,2048
86,86,0.48238343100092607,650.0,50,0.05,2048
87,87,0.48784421399977873,650.0,50,0.05,2048
88,88,0.49321509700166644,650.0,50,0.05,2048
89,89,0.4986150450022251,650.0,50,0.05,2048
90,90,0.504019962001621,650.0,50,0.05,2048
91,91,0.5094440249995387,650.0,50,0.05,2048
92,92,0.5149317390023498,650.0,50,0.05,2048
93,93,0.5203321680019144,650.0,50,0.05,2048
94,94,0.5257224980014144,650.0,50,0.05,2048
95,95,0.531129138002143,650.0,50,0.05,2048
96,96,0.5365039790012816,650.0,50,0.05,2048
97,97,0.5418834180018166,650.0,50,0.05,2048
98,98,0.5473302240025077,650.0,50,0.05,2048
99,99,0.5526934930021525,650.0,50,0.05,2048
100,100,0.5581102020005346,650.0,50,0.05,2048
101,101,0.5641571390005993,650.0,50,0.05,2048
102,102,0.5695455050008604,650.0,50,0.05,2048
103,103,0.5749758199999633,650.0,50,0.05,2048
104,104,0.5804255309994915,650.0,50,0.05,2048
105,105,0.5858111220004503,650.0,50,0.05,2048
106,106,0.5911970640008803,650.0,50,0.05,2048
107,107,0.5966274590027751,650.0,50,0.05,2048
108,108,0.6020260840014089,650.0,50,0.05,2048
109,109,0.6074585940004908,650.0,50,0.05,2048
110,110,0.6128904420002073,650.0,50,0.05,2048
111,111,0.6183016100003442,650.0,50,0.05,2048
112,112,0.6237672930001281,650.0,50,0.05,2048
113,113,0.6292188980005449,650.0,50,0.05,2048
114,114,0.6346606440019968,650.0,50,0.05,2048
115,115,0.6402614399994491,468.0,50,0.1,2048
116,116,0.0020719210006063804,483.0,50,0.1,2048
117,117,0.008118728001136333,495.0,50,0.1,2048
118,118,0.018409313997835852,495.0,50,0.1,2048
119,119,0.028683570999419317,511.0,50,0.1,2048
