,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.007277765998878749,528.0,True,200,0.1,512
1,1,0.052513890997943236,541.0,True,200,0.1,512
2,2,0.1000627049979812,561.0,True,200,0.1,512
3,3,0.1472902739988058,587.0,True,200,0.1,512
4,4,0.18944793799892068,607.0,True,200,0.1,512
5,5,0.23737324099784018,612.0,True,200,0.1,512
6,6,0.2800260980002349,617.0,True,200,0.1,512
7,7,0.3207627039992076,619.0,True,200,0.1,512
8,8,0.3613335169975471,621.0,True,200,0.1,512
9,9,0.4082382669985236,621.0,True,200,0.1,512
10,10,0.44152507099715876,621.0,True,200,0.1,512
11,11,0.4863751089978905,621.0,True,200,0.1,512
12,12,0.530424527998548,621.0,True,200,0.1,512
13,13,0.6149982919996546,621.0,True,200,0.1,512
14,14,0.7003259679986513,621.0,True,200,0.1,512
15,15,0.7852053469978273,621.0,True,200,0.1,512
16,16,0.870470153997303,621.0,True,200,0.1,512
17,17,0.9598790909985837,621.0,True,200,0.1,512
18,18,1.0447686609986704,621.0,True,200,0.1,512
19,19,1.13008767899737,621.0,True,200,0.1,512
20,20,1.2159506030002376,621.0,True,200,0.1,512
21,21,1.3012153300005593,621.0,True,200,0.1,512
22,22,1.3862951070004783,621.0,True,200,0.1,512
23,23,1.471304192997195,621.0,True,200,0.1,512
24,24,1.5562050329972408,621.0,True,200,0.1,512
25,25,1.6424626209991402,621.0,True,200,0.1,512
26,26,1.7273585820003063,621.0,True,200,0.1,512
27,27,1.812206102997152,621.0,True,200,0.1,512
28,28,1.8971912919987517,621.0,True,200,0.1,512
29,29,1.982044282998686,621.0,True,200,0.1,512
30,30,2.067472236998583,621.0,True,200,0.1,512
31,31,2.1536672879992693,621.0,True,200,0.1,512
32,32,2.2392567159986356,621.0,True,200,0.1,512
33,33,2.330376507998153,621.0,True,200,0.1,512
34,34,2.417000055000244,621.0,True,200,0.1,512
35,35,2.503222155999538,621.0,True,200,0.1,512
36,36,2.5891380899993237,621.0,True,200,0.1,512
37,37,2.67505664899727,621.0,True,200,0.1,512
38,38,2.76024051299828,621.0,True,200,0.1,512
39,39,2.84554077699795,621.0,True,200,0.1,512
40,40,2.9308558589982567,621.0,True,200,0.1,512
41,41,3.016242704998149,621.0,True,200,0.1,512
42,42,3.1013976449976326,621.0,True,200,0.1,512
43,43,3.1864690279981005,621.0,True,200,0.1,512
44,44,3.2714086619998852,621.0,True,200,0.1,512
45,45,3.3569369750002807,621.0,True,200,0.1,512
46,46,3.4426685019971046,621.0,True,200,0.1,512
47,47,3.5281520409989753,621.0,True,200,0.1,512
48,48,3.6137273739986995,621.0,True,200,0.1,512
49,49,3.709959990999778,621.0,True,200,0.1,512
50,50,3.8064093879984284,621.0,True,200,0.1,512
51,51,3.9028866769986053,621.0,True,200,0.1,512
52,52,3.9966004269990663,621.0,True,200,0.1,512
53,53,4.093460567997681,621.0,True,200,0.1,512
54,54,4.190291323000565,621.0,True,200,0.1,512
55,55,4.287339597998653,621.0,True,200,0.1,512
56,56,4.384191152999847,621.0,True,200,0.1,512
57,57,4.481064658997639,621.0,True,200,0.1,512
58,58,4.577737305997289,621.0,True,200,0.1,512
59,59,4.674699728999258,518.0,True,200,0.25,512
60,60,0.007554808002169011,549.0,True,200,0.25,512
61,61,0.06475486199997249,549.0,True,200,0.25,512
62,62,0.12583034000272164,572.0,True,200,0.25,512
63,63,0.18697290400086786,575.0,True,200,0.25,512
64,64,0.24343784300072002,591.0,True,200,0.25,512
65,65,0.3052055760017538,601.0,True,200,0.25,512
66,66,0.3620490380017145,630.0,True,200,0.25,512
67,67,0.4180626960005611,630.0,True,200,0.25,512
68,68,0.4736587260013039,631.0,True,200,0.25,512
69,69,0.5349472260022594,643.0,True,200,0.25,512
70,70,0.5903360869997414,652.0,True,200,0.25,512
71,71,0.6436035789993184,652.0,True,200,0.25,512
72,72,0.6962093040019681,652.0,True,200,0.25,512
73,73,0.7504474859997572,654.0,True,200,0.25,512
74,74,0.8010629400014295,661.0,True,200,0.25,512
75,75,0.8501638199995796,663.0,True,200,0.25,512
76,76,0.8991350350006542,663.0,True,200,0.25,512
77,77,0.9544397870013199,665.0,True,200,0.25,512
78,78,1.003186239002389,665.0,True,200,0.25,512
79,79,1.0532076630006486,666.0,True,200,0.25,512
80,80,1.1032788320007967,666.0,True,200,0.25,512
81,81,1.1532653200010827,666.0,True,200,0.25,512
82,82,1.2010118380021595,666.0,True,200,0.25,512
83,83,1.249220105000859,666.0,True,200,0.25,512
84,84,1.3059727660001954,666.0,True,200,0.25,512
85,85,1.4018202280021796,666.0,True,200,0.25,512
86,86,1.4984818049997557,666.0,True,200,0.25,512
87,87,1.5952133640021202,666.0,True,200,0.25,512
88,88,1.691752209000697,666.0,True,200,0.25,512
89,89,1.7955863140014117,666.0,True,200,0.25,512
90,90,1.8944075310027984,666.0,True,200,0.25,512
91,91,1.9912415920007334,666.0,True,200,0.25,512
92,92,2.0878581239994674,666.0,True,200,0.25,512
